image,generated_caption,original_caption,value1,value2
732468337_a37075225e.jpg,two young children sitting on the floor covered in paint,A naked baby and toddler are playing with red fingerpaints,0.38647,0.48910
732468337_a37075225e.jpg,two young children sitting on the floor covered in paint,"A naked baby and toddler on the floor covered in paint , the toddler putting her hands on the baby 's head",0.50554,0.74715
732468337_a37075225e.jpg,two young children sitting on the floor covered in paint,A naked baby and toddler smear each other in paint,0.51873,0.63726
732468337_a37075225e.jpg,two young children sitting on the floor covered in paint,A naked toddler is covering a naked baby with paint,0.43136,0.56894
732468337_a37075225e.jpg,two young children sitting on the floor covered in paint,Two naked young children smear each other with red paint,0.57255,0.63084
795081510_53fd17d101.jpg,a man and a little girl looking out at the ocean,"A couple hold each other , standing on a ferry , looking out at a ferry",0.35400,0.66642
795081510_53fd17d101.jpg,a man and a little girl looking out at the ocean,A couple standing on the deck of a boat watching the water,0.38672,0.65627
795081510_53fd17d101.jpg,a man and a little girl looking out at the ocean,A man embraces a woman as they look over the railing out over the water at a ship,0.46677,0.82292
795081510_53fd17d101.jpg,a man and a little girl looking out at the ocean,Couple overlooking a metal rail with water and a boat int he background,0.41379,0.59711
795081510_53fd17d101.jpg,a man and a little girl looking out at the ocean,The couple is together looking at the large ship in the ocean,0.40997,0.61175
918886676_3323fb2a01.jpg,a dog drinking water out of a faucet,A brown dog drinks from a water bottle,0.60492,0.81583
918886676_3323fb2a01.jpg,a dog drinking water out of a faucet,A tan dog has a drink from water being poured from a spout,0.62039,0.81339
918886676_3323fb2a01.jpg,a dog drinking water out of a faucet,a yellow lab drinks water,0.57230,0.73361
918886676_3323fb2a01.jpg,a dog drinking water out of a faucet,The yellow dog is drinking water from a bottle,0.65576,0.78764
918886676_3323fb2a01.jpg,a dog drinking water out of a faucet,Yellow Labrador drinking water from a faucet,0.76369,0.82194
3004290523_d1319dfdb4.jpg,a man holding a camera up to his face,A man in a cast uses a camcorder while another man watches him,0.48554,0.73981
3004290523_d1319dfdb4.jpg,a man holding a camera up to his face,A man makes a video while another watches,0.49481,0.66524
3004290523_d1319dfdb4.jpg,a man holding a camera up to his face,A man with a cast films some video while another man smiles,0.40970,0.65666
3004290523_d1319dfdb4.jpg,a man holding a camera up to his face,A man with a cast is using a camcorder to record an enjoyable event,0.27959,0.68784
3004290523_d1319dfdb4.jpg,a man holding a camera up to his face,A man with an arm cast films something on video while another man is looking at the camera,0.53915,0.62827
